iter	Passed	Remaining
442	1307	1643
443	1308	1639
444	1313	1638
445	1325	1646
446	1327	1642
447	1330	1639
448	1334	1637
449	1349	1649
450	1353	1647
451	1354	1642
452	1360	1642
453	1362	1638
454	1365	1636
455	1367	1631
456	1369	1627
457	1371	1622
458	1372	1617
459	1374	1613
460	1381	1615
461	1385	1612
462	1390	1612
463	1391	1607
464	1394	1603
465	1395	1599
466	1398	1595
467	1400	1592
468	1403	1588
469	1404	1584
470	1412	1586
471	1417	1585
472	1420	1582
473	1423	1579
474	1425	1575
475	1427	1571
476	1432	1571
477	1435	1567
478	1437	1563
479	1439	1559
480	1445	1559
481	1448	1556
482	1450	1552
483	1452	1548
484	1456	1546
485	1458	1542
486	1460	1538
487	1462	1534
488	1464	1530
489	1466	1526
490	1468	1522
491	1469	1517
492	1471	1513
493	1475	1511
494	1477	1507
495	1479	1503
496	1481	1499
497	1483	1495
498	1485	1490
499	1486	1486
500	1488	1482
501	1490	1478
502	1491	1474
503	1493	1469
504	1498	1468
505	1501	1465
506	1503	1462
507	1505	1457
508	1507	1453
509	1508	1449
510	1511	1446
511	1513	1442
512	1515	1438
513	1520	1437
514	1523	1435
515	1525	1430
516	1527	1426
517	1528	1422
518	1530	1418
519	1532	1414
520	1534	1410
521	1536	1406
522	1539	1404
523	1542	1401
524	1545	1398
525	1546	1394
526	1548	1389
527	1550	1385
528	1552	1382
529	1554	1378
530	1555	1374
531	1557	1370
532	1559	1366
533	1562	1363
534	1566	1361
535	1568	1357
536	1570	1353
537	1571	1349
538	1573	1345
539	1575	1341
540	1576	1337
541	1579	1334
542	1581	1330
543	1582	1326
544	1588	1325
545	1590	1322
546	1592	1318
547	1594	1315
548	1596	1311
549	1597	1307
550	1599	1303
551	1600	1299
552	1602	1295
553	1604	1291
554	1605	1287
555	1609	1285
556	1611	1281
557	1613	1277
558	1615	1274
559	1617	1270
560	1618	1266
561	1620	1263
562	1623	1259
563	1624	1255
564	1626	1251
565	1627	1247
566	1631	1245
567	1633	1242
568	1635	1238
569	1637	1235
570	1639	1231
571	1640	1227
572	1642	1223
573	1644	1220
574	1645	1216
575	1647	1212
576	1648	1208
577	1653	1207
578	1655	1203
579	1658	1200
580	1660	1197
581	1663	1194
582	1665	1191
583	1668	1188
584	1671	1185
585	1675	1183
586	1678	1180
587	1680	1177
588	1682	1174
589	1685	1171
590	1688	1168
591	1690	1165
592	1695	1164
593	1698	1160
594	1700	1157
595	1704	1155
596	1706	1152
597	1709	1149
598	1711	1145
599	1713	1142
600	1717	1140
601	1720	1137
602	1730	1139
603	1733	1136
604	1738	1135
605	1747	1136
606	1750	1133
607	1753	1130
608	1756	1127
609	1762	1126
610	1764	1123
611	1766	1120
612	1769	1117
613	1771	1113
614	1775	1111
615	1779	1109
616	1784	1107
617	1787	1105
618	1791	1102
619	1796	1101
620	1801	1099
621	1804	1096
622	1806	1093
623	1811	1091
624	1815	1089
625	1819	1086
626	1826	1086
627	1827	1082
628	1830	1079
629	1833	1077
630	1837	1074
631	1842	1072
